Country,Authority,Date,Issued Fine?,Fine,Controller,QuotedArt,Type,Summary,Info
HUNGARY,Hungarian National Authority for Data Protection and the Freedom of Information (NAIH),6/26/19,Yes,2850,Financial Enterprise,"Art. 5 GDPR, Art. 6 GDPR, Art. 21 GDPR",Insufficient legal basis for data processing,"A client of a financial enterprise complained that the financial enterprise transferred his data after he objected against the processing and did not provide information on the processing of his data at his request. According to the financial enterprise, it sold its claim stemming from the contract concluded with its client to a third party, therefore such transaction necessitated the transfer of the relevant client data. NAIH highlighted that the financial enterprise sold the concerning claim and transferred the respective data after the non-fulfilment of the concerning contract by the client; this also means that the financial enterprise cannot rely on the performance of the contract concluded with the client. The relevant legal basis would have been the legitimate interest of the controller, where a balancing test is also necessary, describing its interest in transferring the claim and the relevant data to a third party.",https://www.naih.hu/files/NAIH_2019_1837_hatarozat.pdf
HUNGARY,Hungarian National Authority for Data Protection and the Freedom of Information (NAIH),6/26/19,Yes,2850,Unknown,"Art. 5 GDPR, Art. 6 GDPR, Art. 17 GDPR",Insufficient legal basis for data processing,"The individual requested the deletion of his contact data (including his telephone number), however the controller further processed his contact data for claim enforcement purposes on the basis of its legitimate interest. NAIH determined that the controller had no compelling legitimate grounds for processing the telephone number of the data subject, since his address was also at hand, which is sufficient for claim enforcement purposes and for concerning communication with the data subject.",https://www.naih.hu/files/NAIH-2019-2402_hatarozat.pdf
HUNGARY,Hungarian National Authority for Data Protection and the Freedom of Information (NAIH),6/25/19,Yes,15150,Unknown,Art. 33 GDPR,Insufficient fulfilment of data breach notification obligations,The data controller did not fulfil its data breach notification obligations when a flash memory with personal data was lost.,https://www.naih.hu/files/NAIH-2019-2471-hatarozat.pdf
THE NETHERLANDS,Dutch Supervisory Authority for Data Protection (AP),6/18/19,Yes,460000,Haga Hospital,Art. 32 GDPR,Insufficient technical and organisational measures to ensure information security,"The Haga Hospital does not have a proper internal security of patient records in place. This is the conclusion of an investigation by the Dutch Data Protection Authority. This investigation followed when it appeared that dozens of hospital staff had unnecessarily checked the medical records of a well-known Dutch person. To force the hospital to improve the security of patient records, the AP simultaneously imposes an order subject to a penalty. If the Haga Hospital has not improved security before 2nd of October 2019, the hospital must pay 100,000 EUR every two weeks, with a maximum of 300,000 EUR. The Haga Hospital has meanwhile indicated to take measures.",https://autoriteitpersoonsgegevens.nl/nl/nieuws/haga-beboet-voor-onvoldoende-interne-beveiliging-pati%C3%ABntendossiers
FRANCE,French Data Protection Authority (CNIL),6/13/19,Yes,20000,Employer UNIONTRAD COMPANY,"Art. 5 (1) c) GDPR, Art. 12 GDPR, Art. 13 GDPR, Art. 32 GDPR",Insufficient legal basis for data processing,"Between 2013 and 2017, the CNIL received complaints from several employees of the company who were filmed at their workstation. On two occasions, it alerted the company to the rules to be observed when installing cameras in the workplace, in particular, that employees should not be filmed continuously and that information about the data processing has to be provided. In the absence of satisfactory measures at the end of the deadline set in the formal notice, the CNIL carried out a second audit in October 2018 which confirmed that the employer was still breaching data protection laws when recording employees with CCTV. When determening the amount of the fine, the CNIL took into account the size (9 employees) and the financial situation of the company, which presented a negative net result in 2017 (turnover of 885,739 EUR in 2017 and a negative net result of 110,844 EUR), to retain a dissuasive but proportionate administrative fine.",https://www.legifrance.gouv.fr/affichCnil.do?oldAction=rechExpCnil&id=CNILTEXT000038629823&fastReqId=946473298&fastPos=1
SPAIN,Spanish Data Protection Authority (aepd),6/11/19,Yes,250000,Professional Football League (LaLiga),"Art. 5 (1) a), Art. 7 (3) GDPR",Insufficient fulfilment of information obligations,"The national Football League (LaLiga) was fined for offering an app which once per minute accessed the microphone of users' mobile phones in order to detect pubs screening football matches without paying a fee. In the opinion of the AEPD LaLiga did not adequately inform the users of the app about this practice. Furthermore, the app did not meet the requirements for withdrawal of consent.",https://www.eldiario.es/tecnologia/Agencia-Proteccion-Datos-Liga-microfono_0_908859408.html#click=https://t.co/RI3qZzucaB
HUNGARY,Hungarian National Authority for Data Protection and the Freedom of Information (NAIH),6/3/19,Yes,2850,Claim management company,"Art. 5 GDPR, Art. 6 GDPR",Insufficient legal basis for data processing,"The complainants stated during the case that they concluded a credit agreement with the bank, which sold its claim against the complainants and transferred their respective data to a third-party company (controller). NAIH determined in the case that the controller can neither rely on the consent of the data subjects nor the performance of the credit contract as the legal basis of the data processing, since the data subjects concluded such contract with the bank, not with the controller. The appropriate legal basis for processing could have been the legitimate interest of the controller.",https://www.naih.hu/files/NAIH_2019_1598_hatarozat.pdf
DENMARK,Danish Data Protection Authority (Datatilsynet),6/3/19,Yes,200850,IDdesign A / S,"Art. 5 (1) e) GDPR, Art. 5 (2) GDPR",Non-compliance with general data processing principles,"The fine was imposed as a result of an inspection carried out in autumn of 2018. IDdesign had processed personal data of approximately 385,000 customers for a longer period than necessary for the purposes for which they were processed. Additionally, the company had not established and documented deadlines for deletion of personal data in their new CRM system. The deadlines set for the old system were not deleted after the deadline for the information had been reached. Also, the controller had not adequately documented its personal data deletion procedures. 

Please note: Since Danish law does not provide for administrative fines as in the GDPR (unless it is an uncomplicated case and the accused person consented), fines will be imposed by courts.",https://www.datatilsynet.dk/tilsyn-og-afgoerelser/afgoerelser/2019/jun/tilsyn-med-iddesigns-behandling-af-personoplysninger/
HUNGARY,Hungarian National Authority for Data Protection and the Freedom of Information (NAIH),5/31/19,Yes,2000,Local bank,"Art. 12 (3), (4), (5) GDPR, Art. 15 GDPR, Art. 18 GDPR",Insufficient fulfilment of data subjects rights,"Customer of a local bank requested access to telephone conversation recordings as well as to CCTV recordings. The bank provided the copies of the recordings of telephone conversations and also provided the chance of reviewing the recordings at bank but rejected to provide copies of the CCTV recordings since the recordings also contained third parties personal data. The NAIH decided in this case that the bank failed to fulfil data subjects rights since it did not respond in due time and also failed to provide copies of the requested recordings. According to the NAIH, the controller could not refer the protection of third party data since the CCTV recordings affected public space open for every customer and the bank also could have anonymised certain parts of the recordings.",https://www.naih.hu/files/NAIH_2019_1859_hatarozat.pdf
BELGIUM,Belgian Data Protection Authority (APD),5/28/19,Yes,2000,Mayor,"Art. 5 (1) b) GDPR, Art. 6 GDPR",Insufficient legal basis for data processing,The administrative fine was imposed for the misuse of personal data by a mayor for campaign purposes.,https://www.autoriteprotectiondonnees.be/news/lautorite-de-protection-des-donnees-prononce-une-sanction-dans-le-cadre-dune-campagne
FRANCE,French Data Protection Authority (CNIL),5/28/19,Yes,400000,SERGIC (Real Estate),Art. 32 GDPR,Insufficient technical and organisational measures to ensure information security,"The CNIL based the penalty on two grounds: Lack of basic security measures and excessive data storage. As to the first, sensitive user documents uploaded by rental candidates (including ID cards, health cards, tax notices, certificates issued by the family allowance fund, divorce judgments, account statements) were accessible online without any authentication procedure in place. Although the vulnerability was known to the company since March 2018, it was not finally resolved until September 2018. In addition, the company stored the documentation provided by candidates for longer than necessary. The CNIL took into account i.a. the seriousness of the breach (lack of due care in addressing vulnerability and the fact that the documents revealed very intimate aspects of users' lives), the size of the company and its financial standing.",https://www.legifrance.gouv.fr/affichCnil.do?oldAction=rechExpCnil&id=CNILTEXT000038552658&fastReqId=119744754&fastPos=1
HUNGARY,Hungarian National Authority for Data Protection and the Freedom of Information (NAIH),5/23/19,Yes,92146,Organizer of SZIGET festival and VOLT festival,"Art. 6 GDPR, Art. 5 (1) b) GDPR, Art. 13 GDPR",Insufficient legal basis for data processing,"The NAIH found that there were inappropriate legal bases is use and that the controller did not comply with the principle of purpose limitation. Also, information on the data processing was not fully provided to data subjects.",http://www.naih.hu/files/NAIH-2019-55_hatarozat.pdf
HUNGARY,Hungarian National Authority for Data Protection and the Freedom of Information (NAIH),5/21/19,Yes,286,Directorate of Social and Child Welfare Institutions of the Ferencvaros District of Budapest,Art. 33 GDPR,Insufficient fulfilment of data breach obligations,"The employee of the Directorate sent by mistake 9 letters to the wrong recipient, which contained personal data of 18 data subjects (including data of children, criminal data and data related to the private life of the data subjects). The recipient informed the Directorate by telephone 5 days after the posting that it received certain letters by mistake. The Directorate notified NAIH on the data breach only weeks later.",https://www.naih.hu/files/NAIH-2019-3854_hatarozat.pdf
LITHUANIA,Lithuanian Data Protection Authority (VDAI),5/16/19,Yes,61500,Payment service provider UAB MisterTango,"Art. 5 GDPR, Art. 32 GDPR, Art. 33 GDPR",Insufficient fulfilment of data breach notification obligations,"During an inspection, the Lithuanian Data Protection Supervisory Authority found that the controller processed more data than necessary to achieve the purposes for which he was a controller. In addition, it became known that from 09 - 10 July 2018 payment data were publicly available on the internet due to inadequate technical and organisational measures. 9,000 payments with 12 banks from different countries were affected. According to the supervisory authority, a data breach notification pursuant to Art. 33 GDPR would have been necessary. The controller did not report the Data Breach.",https://www.ada.lt/go.php/lit/Imones-atsakomybes-neisvengs--lietuvoje-skirta-zenkli-bauda-uz-bendrojo-duomenu-apsaugos-reglamento-pazeidimus-/1
GERMANY,Data Protection Authority of Baden-Wuerttemberg,5/9/19,Yes,1400,Police Officer,Art. 6 GDPR,Insufficient legal basis for data processing,"The police officer, using his official user ID but without reference to official duties, queried the owner data concerning the license plate of a person who he did not know well via the Central Traffic Information System (ZEVIS) of the Federal Motor Transport Authority. Using the personal data obtained in this way, he then carried out a so-called SARS enquiry with the Federal Network Agency, in which he asked not only for the personal data of the injured parties but also for the home and mobile phone numbers stored there. Using the mobile phone number obtained in this way, the police officer contacted the injured party by telephone - without any official reason or consent given by the injured party.

Through the ZEVIS and SARS enquiry for private purposes and the use of the mobile phone number obtained in this way for private contact, the police officer has processed personal data outside the scope of the law on his own authority. This infringement is not attributable to the police officer's department, since he did not commit the act in the exercise of his official duties, but exclusively for private purposes. The prohibition of punishment under § 28 LDSG, according to which the sanctions of the GDPR cannot be imposed on public bodies, does not apply in the present case, since it was neither a case of misconduct attributable to the authority nor is the person concerned to be classified as a separate public body within the meaning of § 2 (1) or (2) LDSG in the case of the acts in question.",https://www.baden-wuerttemberg.datenschutz.de/lfdi-baden-wuerttemberg-verhaengt-erstes-bussgeld-gegen-polizeibeamten/
CZECH REPUBLIC,Czech Data Protection Auhtority (UOOU),5/6/19,Yes,194,Unknown,Art. 15 GDPR,Insufficient fulfilment of data subjects rights,Information was not provided.,https://www.uoou.cz/assets/File.ashx?id_org=200144&id_dokumenty=34472
NORWAY,Norwegian Supervisory Authority (Datatilsynet),4/29/19,Yes,120000,Oslo Municipal Education Department,Art. 32 GDPR,Insufficient technical and organisational measures to ensure information security,"Fine for security vulnerabilities in a mobile messaging app developed for use in an Oslo school. The app allows parents and students to send messages to school staff. Due to insufficient technical and organizational measures to protect information security, unauthorized persons were able to log in as authorized users and gain access to personal data about students, legal representatives and employees. The fine has meanwhile been reduced to EUR 120.000, see https://edpb.europa.eu/news/national-news/2020/norwegian-data-protection-authority-imposes-fine-municipality-oslo-education_en",https://www.datatilsynet.no/contentassets/f7246f38ff394d32bef6895bc65a4b4f/varsel-om-gebyr---oslo-kommune.pdf
POLAND,Polish National Personal Data Protection Office (UODO),4/25/19,Yes,12950,Sports association,Art. 6 GDPR,Insufficient legal basis for data processing,"One sports association published personal data referring to judges who were granted judicial licenses online. However, not only their names were provided, but also their exact addresses and PESEL numbers. Meanwhile, there is no legal basis for such a wide range of data on judges to be available on the Internet. By making them public, the administrator posed a potential risk of their unauthorized use, e.g. to impersonate them for the purpose of borrowing or other obligations. Although the association itself noticed its own error, as evidenced by the notification of a personal data protection breach to the President of the PDPA, the fact that attempts to remove it were ineffective determined the imposition of a penalty.

When determining the amount of the fine (PLN 55,750.50), the President of UODO also took into account, among others, the duration of the infringement and the fact that it concerned a large group of persons (585 judges). It concluded that although the infringement was finally removed, it was of a serious nature.However, when imposing a penalty, the President of the Office of Competition and Consumer Protection also took into account mitigating circumstances, such as good cooperation between the controller and the supervisory authority or lack of evidence that damage had been caused to the persons whose data had been disclosed.",https://uodo.gov.pl/pl/138/990 https://uodo.gov.pl/decyzje/ZSPR.440.43.2019
HUNGARY,Hungarian National Authority for Data Protection and the Freedom of Information (NAIH),4/17/19,Yes,9400,Unknown,"Art. 5 (1) a) GDPR, Art. 6 GDPR",Insufficient legal basis for data processing,"A data controller used a, in the point of view of NAIH, wrong legal basis for processing of personal data (Art. 6.1.b) for the assignment of claims.",http://www.naih.hu/files/NAIH-2019-167-hatarozat.pdf
ITALY,Italian Data Protection Authority (Garante),4/17/19,Yes,50000,Italian political party Movimento 5 Stelle,Art. 32 GDPR,Insufficient technical and organisational measures to ensure information security,"A number of websites affiliated to the Italian political party Movimento 5 Stelle are run, by means of a data processor, through the platform named Rousseau. The platform had suffered a data breach during the summer 2017 that led the Italian data protection authority, the Garante, to require the implementation of a number of security measures, in addition to the obligation to update the privacy information notice in order to give additional transparency to the data processing activities performed.While the update of the privacy information notice was timely completed, the Italian data protection authority, raised its concerns as to the lack of implementation on the Rousseau platform of some of GDPR related security measures. It is worth it to mention that the proceeding initiated before May 2018, but the Italian data protection authority issued a fine under the GDPR since the Rousseau platform had not adopted security measures required by means of an order issued after the 25th of May 2018. Interestingly, the fine was not issued against the Movimento 5 Stelle that is the data controller of the platform, but against the Rousseau association that is the data processor.",https://www.garanteprivacy.it/web/guest/home/docweb/-/docweb-display/docweb/9101974
GERMANY,Data Protection Authority of Baden-Wuerttemberg,4/12/19,Yes,80000,Company in the financial sector,"Art. 5 GDPR, Art. 32 GDPR",Insufficient technical and organisational measures to ensure information security,"In an administrative decision dated 12 April 2019, the authority imposed a fine of 80,000 euros on a medium-sized financial services company. This company had failed to take the necessary care to preserve the integrity and confidentiality of information within the meaning of Art. 5 para. 1 lit. f GDPR when disposing of documents containing personal data of two customers. Thus, without prior anonymisation, the papers were disposed of in the general waste paper recycling system, where the documents were found by a neighbour.",https://www.baden-wuerttemberg.datenschutz.de/wp-content/uploads/2019/07/PM-Datenschutzverletzungen-bereiten-zunehmend-Sorge-30.07.2019.pdf
BULGARIA,Data Protection Commision of Bulgaria (KZLD),4/8/19,Yes,510,Medical centers,"Art. 5 (1) a) GDPR, Art. 9 (1) GDPR, Art. 9 (2) GDPR, Art. 6 (1) GDPR",Insufficient legal basis for data processing,"The sanction of 510 EUR was imposed on each medical center for unlawful processing of the personal data of data subject G.B. by a medical centre for the purpose of changing his GP. The medical centre used a software to generate a registration form for change of GP which was submitted to the Regional Health Insurance Fund and then to another medical centre, which subsequently also unlawfully processed the personal data of G.B.",https://www.cpdp.bg/?p=element_view&aid=2192
HUNGARY,Hungarian National Authority for Data Protection and the Freedom of Information (NAIH),4/5/19,Yes,1900,Unknown,Art. 15 GDPR,Insufficient fulfilment of data subjects rights,The data controller did not fulfil the data subject's access request.,http://www.naih.hu/files/NAIH_2019_133_hatarozat.pdf
HUNGARY,Hungarian National Authority for Data Protection and the Freedom of Information (NAIH),4/5/19,Yes,34375,Hungarian political party,"Art. 33 (1) GDPR, Art. 33 (5) GDPR, Art. 34 (1) GDPR",Insufficient fulfilment of data breach notification obligations,"NAIH imposed a fine of HUF 11,000,000 (EUR 34,375) on an undisclosed Hungarian political party for failing to notify the NAIH and relevant individuals about a data breach, and failing to document the breach according to GDPR Article 33.5. As mandated by law, the fine was based on 4% of the party's annual turnover and 2.65 % of its anticipated turnover for the coming year.

The breach was the result of a cyber attack by an anonymous hacker who accessed and disclosed information on the vulnerability of the organisation’s system – a database of more than 6,000 individuals – and the command used for the attack. The system was vulnerable to attack because of a redirection problem with the organisation's webpage. After the attacker published the command, even people with low IT knowledge were able to retrieve information from the database.",http://www.cms-lawnow.com/ealerts/2019/04/hungarian-data-authority-investigates-two-cases-of-privacy-breaches?cc_lang=en
BULGARIA,Data Protection Commision of Bulgaria (KZLD),3/26/19,Yes,5100,A.P. EOOD,"Art. 5 (1) a) GDPR, Art. 6 GDPR",Insufficient legal basis for data processing,"The sanction was imposed on personal data administrator A.P. EOOD for unlawful processing of personal data. The personal data of data subject D.D. was used by A.P. EOOD for preparing an Employment Contract, while he was in prison.",https://www.cpdp.bg/?p=element_view&aid=2191
POLAND,Polish National Personal Data Protection Office (UODO),3/26/19,Yes,220000,Private company working with data from publicly available sources,Art. 14 GDPR,Insufficient fulfilment of information obligations,"The fine concerned the proceedings related to the activity of a company which processed the data subjects’ data obtained from publicly available sources, inter alia from the Central Electronic Register and Information on Economic Activity, and processed the data for commercial purposes. The authority verified incompliance with the information obligation in relation to natural persons conducting business activity – entrepreneurs who are currently conducting such activity or have suspended it, as well as entrepreneurs who conducted such activity in the past. The controller fulfilled the information obligation by providing the information required under Art. 14 (1) – (3) of the GDPR only in relation to the persons whose e-mail addresses it had at its disposal. In case of the remaining persons the controller failed to comply with the information obligation – as it explained in the course of the proceedings – due to high operational costs. Therefore, it presented the information clause only on its website. According to the UODO this is not sufficient.

Addendum: In the meantime, the court has cancelled the fine due to procedural errors. The amount of the fine has to be determined by the concrete number of data records concerned. However, the Office had not submitted any verifiable evidence in this regard, but had simply assumed that 6 million data sets were involved, which the data controller had denied. Therefore, important statements were missing. In particular, it was incorrect to justify the amount of the fine on the basis of general preventive considerations. Art. 58 GDPR expressly states that a fine imposed must be related to the specific facts of the case. The Polish data protection authority has already announced that the fine will be revised in a new administrative procedure.",https://uodo.gov.pl/en/553/1009
PORTUGAL,Portuguese Data Protection Authority (CNPD),3/25/19,Yes,2000,Unknown,Art. 13 GDPR,Insufficient fulfilment of information obligations,Inexistence of signalization regarding the use of CCTV systems,https://www.cnpd.pt/bin/decisoes/Delib/DEL_2019_222.pdf
CZECH REPUBLIC,Czech Data Protection Auhtority (UOOU),3/21/19,Yes,10000,Unknown,Art. 5 (1) GDPR,Non-compliance with general data processing principles,"Data was not only processed if adequate, relevant and limited to what is necessary in relation to the purposes for which they are processed ('data minimisation') and not only kept in a form which permits identification of data subjects for no longer than is necessary for the purposes for which the personal data are processed ('storage limitation').",https://www.uoou.cz/assets/File.ashx?id_org=200144&id_dokumenty=34470
PORTUGAL,Portuguese Data Protection Authority (CNPD),3/19/19,Yes,2000,Unknown,Art. 13 GDPR,Insufficient fulfilment of information obligations,Inexistence of signalization regarding the use of CCTV systems,https://www.cnpd.pt/bin/decisoes/Delib/DEL_2019_207.pdf
HUNGARY,Hungarian National Authority for Data Protection and the Freedom of Information (NAIH),3/4/19,Yes,3200,Unnamed financial institution,"Art. 5 (1) b) GDPR, Art. 5 (1) c) GDPR, Art. 13 (3) GDPR, Art. 17 (1) GDPR, Art. 6 (4) GDRP",Insufficient fulfilment of data subjects rights,"The fine was imposed in relation to a data subject's request for data correction and erasure. NAIH levied a fine against an unnamed financial institution for unlawfully rejecting a customer’s request to have his phone number erased after arguing that it was in the company's legitimate interest to process this data in order to enforce a debt claim against the customer. In its decision, the NAIH emphasised that the customer’s phone number is not necessary for the purpose of debt collection because the creditor can also communicate with the debtor by post. Consequently, keeping the phone number of the debtor was against the principles of data minimisation and purpose limitation. As per the law, the assessed fine was based on 0.025% of the company's annual net revenue.",https://www.naih.hu/files/NAIH-2019-2526-2-H-hatarozat.pdf http://www.cms-lawnow.com/ealerts/2019/03/hungarys-data-protection-authority-levies-two-eur-3100-fines-for-privacy-violations?cc_lang=en
NORWAY,Norwegian Supervisory Authority (Datatilsynet),3/31/19,Yes,170000,Bergen Municipality,"Art. 5 (1) f) GDPR, Art. 32 GDPR",Insufficient technical and organisational measures to ensure information security,"The incident relates to computer files with usernames and passwords to over 35000 user accounts in the municipality’s computer system. The user accounts related to both pupils in the municipality’s primary schools, and to the employees of the same schools. Due to insufficient security measures, these files have been unprotected and openly accessible. The lack of security measures in the system made it possible for anyone to log in to the school’s various information systems, and thereby to access various categories of personal data relating to the pupils and employees of the schools.

The fact that the security breach encompasses personal data to over 35 000 individuals, and that the majority of these are children, were considered to be aggravating factors. The municipality had also been warned several times, both by the authority and an internal whistleblower, that the data security was inadequate.",https://www.datatilsynet.no/en/about-privacy/reports-on-specific-subjects/administrative-fine-of-170.000--imposed-on-bergen-municipality/
GERMANY,Data Protection Authority of Berlin,3/31/19,Yes,50000,N26,Art. 6 GDPR,Insufficient legal basis for data processing,"The fine was imposed against against a bank (according to a newspaper N26) that had processed 'personal data of all former customers' without permission.The Bank has acknowledged that it had retained data relating to former customers in order to maintain a blacklist, a kind of warning file, so that it would not make a new account available to these persons. The bank initially justified this by stating that it was obliged under the German Banking Act to take security measures against customers suspected of money laundering. The Berlin supervisory authority judged this to be illegal. The authority argues that in order to prevent a new bank account from being opened, only those affected may be included in a comparison file who are actually suspected of money laundering or for whom there are other valid reasons for refusing a new bank account. The authority told a newspaper that the fine proceedings initiated against the bank had 'not yet been legally concluded'.",Page 131 of the activity report of the Data Protection Commissioner of Berlin https://www.zaftda.de/tb-bundeslaender/berlin/695-tb-lfd-berlin-2018-ohne-drs-nr-vom-28-03-2019/file  https://www.handelsblatt.com/finanzen/banken-versicherungen/datenspeicherung-schwarze-listen-so-bekam-n26-aerger-mit-datenschuetzern/24204544.html?ticket=ST-2292400-vgiEKfzmY6g2zEmLwLgj-ap1
HUNGARY,Hungarian National Authority for Data Protection and the Freedom of Information (NAIH),2/28/19,Yes,3200,Mayor's Office of the city of Kecdkemét,"Art. 5 (1) a) GDPR, Art. 6 GDPR",Insufficient legal basis for data processing,"The fine was imposed on the Mayor’s Office of the city of Kecskemét for unlawful disclosure of the personal information of a whistleblower.NAIH imposed the fine after an employee of an organisation that it supervised reported a public interest complaint directly to it against his employer. After the organisation learned of the complaint, it requested details in order to investigate, and the local government accidentally revealed the complainant's name. The NAIH considered it an aggravating factor that as a result of the data breach, the organisation fired the person who made the report.",https://www.naih.hu/files/NAIH-2019-596-hatarozat.pdf http://www.cms-lawnow.com/ealerts/2019/03/hungarys-data-protection-authority-levies-two-eur-3100-fines-for-privacy-violations?cc_lang=en
CZECH REPUBLIC,Czech Data Protection Auhtority (UOOU),2/28/19,Yes,582,Unknown,Art. 32 GDPR,Insufficient technical and organisational measures to ensure information security,"Data was not processed in a manner that ensures appropriate security of the personal data, including protection against unauthorised or unlawful processing and against accidental loss, destruction or damage, using appropriate technical or organisational measures ('integrity and confidentiality').",https://www.uoou.cz/assets/File.ashx?id_org=200144&id_dokumenty=34466
BULGARIA,Bulgarian Commission for Personal Data Protection (KZLD),2/26/19,Yes,27100,Telecommunication service provider,"Art. 6 GDPR, Art. 5 (1) a) GDPR",Insufficient legal basis for data processing,"Repeated registration of prepaid services without the knowledge and consent of the data subject

Employees of the telecommunications provider have used personal data and registered the complainant with the company's prepaid service. The data subject had not signed the application and had not consented to the processing of his personal data for the stated purpose. There was also no other legal basis applicable. The signature of the application and the complainant own genuine application were not identical and the persons personal identification number was indicated, but the identity card number was not the complainants one.",https://www.cpdp.bg/?p=element_view&aid=2180
CZECH REPUBLIC,Czech Data Protection Auhtority (UOOU),2/26/19,Yes,776,Unknown,Art. 15 GDPR,Insufficient fulfilment of data subjects rights,Information was not provided.,https://www.uoou.cz/assets/File.ashx?id_org=200144&id_dokumenty=34469
BULGARIA,Bulgarian Commission for Personal Data Protection (KZLD),2/22/19,Yes,500,Employer,Art. 15 GDPR,Insufficient fulfilment of data subjects rights,An employee sent a request to his employer for access to personal data concerning him. The request was not answered in time and not in a complete way.,https://www.cpdp.bg/?p=element_view&aid=2177
HUNGARY,Hungarian National Authority for Data Protection and the Freedom of Information (NAIH),2/20/19,Yes,1560,Debt collector,"Art. 5 (1) a) GDPR, Art. 5 (1) c) GDPR",Non-compliance with general data processing principles,"A data subject requested information about and erasure of the data processed, which the debt collector refused stating that it could not identify the subject. For identification purposes he requested place of birth, mother’s maiden name and further details from the data subject. After the controller succeeded to identify the data subjects he refused to comply with the deletion request, arguing he is legally obliged to retain backup copies according to the Accountancy Act and internal policies. Since he did not properly inform about these policies, the NAIH held the controller breached the principle of transparency. The fine constitutes 0.0025% of the annual profit of the controller.",http://www.cms-lawnow.com/ealerts/2019/03/hungary-fines-two-companies-for-gdpr-infringement?cc_lang=en https://www.naih.hu/files/NAIH-2019-1841_hatarozat.pdf
MALTA,Data Protection Commissioner of Malta,2/18/19,Yes,5000,Lands Authority,"Art. 5 GDPR, Art. 32 GDPR",Insufficient technical and organisational measures to ensure information security,"As a result of the lack of appropriate security measures on the Lands Authority website, over 10 gigabytes of personal data became easily accessible to the public via a simple google search. The majority of the leaked data contained highly-sensitive information and correspondence between individuals and the Authority itself. The Lands Authority chose not to appeal. In Malta, in the case of a breach by a public authority or body, the Data Protection Commissioner may impose an administrative fine of up to €25,000 for each violation and may additionally impose a daily fine of €25 for each day such violation persists.",https://www.gvzh.com.mt/malta-news/idpc-fines-lands-authority-data-breach/
HUNGARY,Hungarian National Authority for Data Protection and the Freedom of Information (NAIH),2/8/19,Yes,1560,Bank,Art. 5 (1) d) GDPR,Non-compliance with general data processing principles,"A bank mistakenly sent SMS messages about a subject's credit card debt to the telephone number of another person. After receiving an incorrect telephone number from the client at the time of contracting, the bank did not comply with the data subject's request to erase the data and continued to send SMS message to the incorrect telephone number. The fine represents 0.0016% of the annual profit of the bank.",http://www.cms-lawnow.com/ealerts/2019/03/hungary-fines-two-companies-for-gdpr-infringement?cc_lang=en  https://www.naih.hu/files/NAIH-2019_363_hatarozat.pdf
PORTUGAL,Portuguese Data Protection Authority (CNPD),2/5/19,Yes,20000,Unknown,Art. 15 GDPR,Insufficient fulfilment of data subjects rights,Denial of the right to access recorded phone calls by the Data Subject,https://www.cnpd.pt/bin/decisoes/Delib/DEL_2019_21.pdf
GERMANY,Data Protection Authority of Sachsen-Anhalt,2/5/19,Yes,2500,Private person,"Art. 6 GDPR, Art. 5 GDPR",Insufficient legal basis for data processing,"The fine was impossed against a private person who sent several e-mails between July and September 2018, in which he used personal e-mail addresses visible to all recipients, from which each recipient could read countless other recipients. The man was accused of ten offences between mid-July and the end of July 2018. According to the authority's letter, between 131 and 153 personal mail addresses were identifiable in his mailing list.","https://www.baden-wuerttemberg.datenschutz.de/wp-content/uploads/2020/01/35.-T%C3%A4tigkeitsbericht-f%C3%BCr-den-Datenschutz-Web.pdf#page=44&zoom=100,0,0"
CZECH REPUBLIC,Czech Data Protection Auhtority (UOOU),2/4/19,Yes,1165,Credit brokerage,Art. 32 GDPR,Insufficient technical and organisational measures to ensure information security,"Data was not processed in a manner that ensures appropriate security of the personal data, including protection against unauthorised or unlawful processing and against accidental loss, destruction or damage, using appropriate technical or organisational measures ('integrity and confidentiality').",https://www.uoou.cz/assets/File.ashx?id_org=200144&id_dokumenty=34467
CZECH REPUBLIC,Czech Data Protection Auhtority (UOOU),2/4/19,Yes,1165,Car renting company,Art. 5 (1) a) GDPR,Insufficient fulfilment of information obligations,A person who rented a car found out that the car was tracked via GPS by the renting company even though there was no information provided on the fact that the car is being tracked. The Czech Data Protection Authority found that there was no information provided in terms of Art. 13 GDPR and that Art. 6 (1) f) GDPR could not be the legal basis under the concrete circumstances. Due to that the UOOU found that there was a violation of Art. 5 (1) a) GDPR for which it imposed the fine.,https://www.uoou.cz/assets/File.ashx?id_org=200144&id_dokumenty=34465
FRANCE,French Data Protection Authority (CNIL),1/21/19,Yes,50000000,Google Inc.,"Art. 13 GDPR, Art. 14 GDPR, Art. 6 GDPR, Art. 5 GDPR",Insufficient legal basis for data processing,"The fine was imposed on the basis of complaints from the Austrian organisation 'None Of Your Business' and the French NGO 'La Quadrature du Net'. The complaints were filed on 25th and 28th of May 2018 - immediately after the GDPR became applicable. The complaints concerned the creation of a Google account during the configuration of a mobile phone using the Android operating system. The CNIL imposed a fine of 50 million euros for lack of transparency (Art. 5 GDPR), insufficient information (Art. 13 / 14 GDPR) and lack of legal basis (Art. 6 GDPR). The obtained consents had not been given 'specific' and not 'unambigous' (Art. 4 nr. 11 GDPR).",https://www.cnil.fr/en/cnils-restricted-committee-imposes-financial-penalty-50-million-euros-against-google-llc
